STATE,SOC_NAME,COUNTER
 MONTANA,"SOFTWARE DEVELOPERS, APPLICATIONS",28
 MONTANA,COMPUTER PROGRAMMERS,25
 MONTANA,"PHYSICIANS AND SURGEONS, ALL OTHER",23
 MONTANA,"COMPUTER OCCUPATIONS, ALL OTHER",19
 MONTANA,"Software Developers, Systems Software",16
 NA,Accountants and Auditors,383
 NA,Civil Engineers,288
 NA,CIVIL ENGINEERS,194
 NA,ACCOUNTANTS AND AUDITORS,145
 NA,Electrical Engineers,137
 NA,ELECTRICAL ENGINEERS,113
 NA,"Secondary School Teachers, Except Special and Care",94
 NA,Mechanical Engineers,87
 NA,MECHANICAL ENGINEERS,79
 NA,Computer Systems Analysts,67
 NEBRASKA,"SOFTWARE DEVELOPERS, APPLICATIONS",932
 NEBRASKA,"Software Developers, Applications",894
 NEBRASKA,Computer Programmers,881
 NEBRASKA,Computer Systems Analysts,840
 NEBRASKA,COMPUTER SYSTEMS ANALYSTS,542
 NEBRASKA,COMPUTER PROGRAMMERS,484
 NEBRASKA,"COMPUTER OCCUPATIONS, ALL OTHER",327
 NEBRASKA,"Physicians and Surgeons, All Other",214
 NEBRASKA,"Computer Occupations, All Other",174
 NEBRASKA,COMPUTER SYSTEMS ANALYST,146
 NEVADA,Computer Programmers,472
 NEVADA,"Software Developers, Applications",441
 NEVADA,Computer Systems Analysts,439
 NEVADA,COMPUTER SYSTEMS ANALYSTS,377
 NEVADA,"SOFTWARE DEVELOPERS, APPLICATIONS",367
 NEVADA,"COMPUTER OCCUPATIONS, ALL OTHER",208
 NEVADA,COMPUTER PROGRAMMERS,166
 NEVADA,"Computer Occupations, All Other",164
 NEVADA,Accountants and Auditors,122
 NEVADA,"Software Developers, Systems Software",117
 NEW HAMPSHIRE,Computer Systems Analysts,1254
 NEW HAMPSHIRE,Computer Programmers,1221
 NEW HAMPSHIRE,COMPUTER PROGRAMMERS,809
 NEW HAMPSHIRE,"SOFTWARE DEVELOPERS, APPLICATIONS",743
 NEW HAMPSHIRE,COMPUTER SYSTEMS ANALYSTS,717
 NEW HAMPSHIRE,"Software Developers, Applications",680
 NEW HAMPSHIRE,"COMPUTER OCCUPATIONS, ALL OTHER",296
 NEW HAMPSHIRE,"Computer Occupations, All Other",273
 NEW HAMPSHIRE,"Computer Software Engineers, Applications",168
 NEW HAMPSHIRE,Database Administrators,129
 NEW JERSEY,Computer Programmers,29443
 NEW JERSEY,COMPUTER PROGRAMMERS,26207
 NEW JERSEY,Computer Systems Analysts,21951
 NEW JERSEY,COMPUTER SYSTEMS ANALYSTS,16090
 NEW JERSEY,"SOFTWARE DEVELOPERS, APPLICATIONS",15125
 NEW JERSEY,"Software Developers, Applications",11653
 NEW JERSEY,"COMPUTER OCCUPATIONS, ALL OTHER",11088
 NEW JERSEY,"Computer Occupations, All Other",7577
 NEW JERSEY,Management Analysts,3331
 NEW JERSEY,"Computer Occupations, All Other*",3107
 NEW MEXICO,Physical Therapists,245
 NEW MEXICO,"SOFTWARE DEVELOPERS, APPLICATIONS",237
 NEW MEXICO,Physicists,213
 NEW MEXICO,Computer Systems Analysts,212
 NEW MEXICO,COMPUTER SYSTEMS ANALYSTS,192
 NEW MEXICO,Computer Programmers,147
 NEW MEXICO,"Secondary School Teachers, Except Special and Care",134
 NEW MEXICO,"Software Developers, Applications",123
 NEW MEXICO,Industrial Engineers,120
 NEW MEXICO,PHYSICAL THERAPISTS,110
 NEW YORK,Computer Systems Analysts,17930
 NEW YORK,Financial Analysts,13829
 NEW YORK,Computer Programmers,13758
 NEW YORK,"SOFTWARE DEVELOPERS, APPLICATIONS",13576
 NEW YORK,"Software Developers, Applications",13228
 NEW YORK,COMPUTER SYSTEMS ANALYSTS,12692
 NEW YORK,COMPUTER PROGRAMMERS,8902
 NEW YORK,FINANCIAL ANALYSTS,8007
 NEW YORK,"COMPUTER OCCUPATIONS, ALL OTHER",6958
 NEW YORK,Management Analysts,5877
 NORTH CAROLINA,Computer Systems Analysts,10009
 NORTH CAROLINA,COMPUTER SYSTEMS ANALYSTS,7132
 NORTH CAROLINA,"SOFTWARE DEVELOPERS, APPLICATIONS",7123
 NORTH CAROLINA,Computer Programmers,6803
 NORTH CAROLINA,COMPUTER PROGRAMMERS,5530
 NORTH CAROLINA,"Software Developers, Applications",4927
 NORTH CAROLINA,"COMPUTER OCCUPATIONS, ALL OTHER",3593
 NORTH CAROLINA,"Computer Occupations, All Other",2607
 NORTH CAROLINA,COMPUTER SYSTEMS ANALYST,1208
 NORTH CAROLINA,"Computer Occupations, All Other*",1062
 NORTH DAKOTA,Computer Systems Analysts,190
 NORTH DAKOTA,"Software Developers, Applications",167
 NORTH DAKOTA,COMPUTER PROGRAMMERS,132
 NORTH DAKOTA,Computer Programmers,112
 NORTH DAKOTA,"SOFTWARE DEVELOPERS, APPLICATIONS",111
 NORTH DAKOTA,"Physicians and Surgeons, All Other",107
 NORTH DAKOTA,COMPUTER SYSTEMS ANALYSTS,103
 NORTH DAKOTA,"Internists, General",102
 NORTH DAKOTA,"PHYSICIANS AND SURGEONS, ALL OTHER",97
 NORTH DAKOTA,MEDICAL AND CLINICAL LABORATORY TECHNOLOGISTS,78
 OHIO,Computer Systems Analysts,8634
 OHIO,Computer Programmers,7861
 OHIO,COMPUTER SYSTEMS ANALYSTS,6574
 OHIO,"SOFTWARE DEVELOPERS, APPLICATIONS",5893
 OHIO,COMPUTER PROGRAMMERS,5059
 OHIO,"Software Developers, Applications",4983
 OHIO,"COMPUTER OCCUPATIONS, ALL OTHER",2928
 OHIO,"Computer Occupations, All Other",1811
 OHIO,Mechanical Engineers,1278
 OHIO,MECHANICAL ENGINEERS,1108
 OKLAHOMA,Computer Systems Analysts,745
 OKLAHOMA,Computer Programmers,670
 OKLAHOMA,COMPUTER SYSTEMS ANALYSTS,527
 OKLAHOMA,"SOFTWARE DEVELOPERS, APPLICATIONS",458
 OKLAHOMA,"Software Developers, Applications",442
 OKLAHOMA,COMPUTER PROGRAMMERS,410
 OKLAHOMA,"Computer Software Engineers, Applications",283
 OKLAHOMA,"Physicians and Surgeons, All Other",210
 OKLAHOMA,Mechanical Engineers,206
 OKLAHOMA,"COMPUTER OCCUPATIONS, ALL OTHER",205
 OREGON,Computer Systems Analysts,2184
 OREGON,COMPUTER SYSTEMS ANALYSTS,1539
 OREGON,Computer Programmers,1511
 OREGON,Industrial Engineers,1384
 OREGON,"Electronics Engineers, Except Computer",1199
 OREGON,COMPUTER PROGRAMMERS,1188
 OREGON,"SOFTWARE DEVELOPERS, APPLICATIONS",1169
 OREGON,"COMPUTER OCCUPATIONS, ALL OTHER",1049
 OREGON,"Software Developers, Applications",1047
 OREGON,"Software Developers, Systems Software",865
 PENNSYLVANIA,Computer Systems Analysts,16401
 PENNSYLVANIA,COMPUTER SYSTEMS ANALYSTS,11698
 PENNSYLVANIA,Computer Programmers,9010
 PENNSYLVANIA,"SOFTWARE DEVELOPERS, APPLICATIONS",6270
 PENNSYLVANIA,COMPUTER PROGRAMMERS,5956
 PENNSYLVANIA,"Software Developers, Applications",5871
 PENNSYLVANIA,"COMPUTER OCCUPATIONS, ALL OTHER",3164
 PENNSYLVANIA,"Computer Occupations, All Other",1861
 PENNSYLVANIA,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",1612
 PENNSYLVANIA,"Software Developers, Systems Software",1563
 PUERTO RICO,Computer Systems Analysts,100
 PUERTO RICO,COMPUTER SYSTEMS ANALYSTS,63
 PUERTO RICO,"Software Developers, Applications",46
 PUERTO RICO,Computer Programmers,36
 PUERTO RICO,Sales Managers,33
 PUERTO RICO,Computer and Information Systems Managers,31
 PUERTO RICO,Electrical Engineers,30
 PUERTO RICO,"Engineering Teachers, Postsecondary",30
 PUERTO RICO,General and Operations Managers,27
 PUERTO RICO,Marketing Managers,26
 RHODE ISLAND,Computer Systems Analysts,1491
 RHODE ISLAND,COMPUTER SYSTEMS ANALYSTS,1238
 RHODE ISLAND,Computer Programmers,1007
 RHODE ISLAND,"SOFTWARE DEVELOPERS, APPLICATIONS",795
 RHODE ISLAND,COMPUTER PROGRAMMERS,745
 RHODE ISLAND,"Computer Occupations, All Other",653
 RHODE ISLAND,"Software Developers, Applications",618
 RHODE ISLAND,"COMPUTER OCCUPATIONS, ALL OTHER",599
 RHODE ISLAND,COMPUTER SYSTEMS ANALYST,280
 RHODE ISLAND,"Physicians and Surgeons, All Other",187
 SOUTH CAROLINA,COMPUTER SYSTEMS ANALYSTS,945
 SOUTH CAROLINA,Computer Systems Analysts,845
 SOUTH CAROLINA,Computer Programmers,829
 SOUTH CAROLINA,COMPUTER PROGRAMMERS,809
 SOUTH CAROLINA,"SOFTWARE DEVELOPERS, APPLICATIONS",804
 SOUTH CAROLINA,"Software Developers, Applications",506
 SOUTH CAROLINA,"COMPUTER OCCUPATIONS, ALL OTHER",451
 SOUTH CAROLINA,Mechanical Engineers,352
 SOUTH CAROLINA,"Computer Occupations, All Other",280
 SOUTH CAROLINA,Industrial Engineers,241
 SOUTH DAKOTA,Computer Programmers,228
 SOUTH DAKOTA,Computer Systems Analysts,114
 SOUTH DAKOTA,COMPUTER PROGRAMMERS,97
 SOUTH DAKOTA,COMPUTER SYSTEMS ANALYSTS,93
 SOUTH DAKOTA,"Physicians and Surgeons, All Other",85
 SOUTH DAKOTA,"PHYSICIANS AND SURGEONS, ALL OTHER",64
 SOUTH DAKOTA,"INTERNISTS, GENERAL",40
 SOUTH DAKOTA,"COMPUTER OCCUPATIONS, ALL OTHER",36
 SOUTH DAKOTA,"SOFTWARE DEVELOPERS, APPLICATIONS",32
 SOUTH DAKOTA,"Internists, General",31
 TENNESSEE,Computer Systems Analysts,3309
 TENNESSEE,COMPUTER SYSTEMS ANALYSTS,2212
 TENNESSEE,Computer Programmers,2010
 TENNESSEE,"Software Developers, Applications",1572
 TENNESSEE,"SOFTWARE DEVELOPERS, APPLICATIONS",1522
 TENNESSEE,COMPUTER PROGRAMMERS,1154
 TENNESSEE,"COMPUTER OCCUPATIONS, ALL OTHER",1033
 TENNESSEE,"Computer Occupations, All Other",743
 TENNESSEE,Biochemists and Biophysicists,541
 TENNESSEE,"Physicians and Surgeons, All Other",452
 TEXAS,Computer Systems Analysts,29350
 TEXAS,COMPUTER SYSTEMS ANALYSTS,25343
 TEXAS,"SOFTWARE DEVELOPERS, APPLICATIONS",21429
 TEXAS,Computer Programmers,21016
 TEXAS,COMPUTER PROGRAMMERS,20147
 TEXAS,"Software Developers, Applications",15421
 TEXAS,"COMPUTER OCCUPATIONS, ALL OTHER",9669
 TEXAS,"Computer Occupations, All Other",5486
 TEXAS,Mechanical Engineers,4647
 TEXAS,"Electronics Engineers, Except Computer",3672
 UTAH,Computer Systems Analysts,1460
 UTAH,"SOFTWARE DEVELOPERS, APPLICATIONS",921
 UTAH,COMPUTER SYSTEMS ANALYSTS,908
 UTAH,"Software Developers, Applications",831
 UTAH,Computer Programmers,655
 UTAH,COMPUTER PROGRAMMERS,485
 UTAH,"COMPUTER OCCUPATIONS, ALL OTHER",357
 UTAH,Management Analysts,271
 UTAH,COMPUTER SYSTEMS ANALYST,250
 UTAH,"Computer Occupations, All Other",206
 VERMONT,Computer Systems Analysts,177
 VERMONT,COMPUTER SYSTEMS ANALYSTS,114
 VERMONT,"Software Developers, Applications",112
 VERMONT,"SOFTWARE DEVELOPERS, APPLICATIONS",82
 VERMONT,Computer Programmers,69
 VERMONT,Electrical Engineers,54
 VERMONT,"Foreign Language and Literature Teachers, Postseco",45
 VERMONT,COMPUTER PROGRAMMERS,37
 VERMONT,"COMPUTER OCCUPATIONS, ALL OTHER",35
 VERMONT,"FOREIGN LANGUAGE AND LITERATURE TEACHERS,",29
 VIRGINIA,Computer Systems Analysts,10563
 VIRGINIA,Computer Programmers,8976
 VIRGINIA,COMPUTER PROGRAMMERS,8207
 VIRGINIA,COMPUTER SYSTEMS ANALYSTS,7756
 VIRGINIA,"SOFTWARE DEVELOPERS, APPLICATIONS",7409
 VIRGINIA,"Software Developers, Applications",6165
 VIRGINIA,"COMPUTER OCCUPATIONS, ALL OTHER",2220
 VIRGINIA,"Computer Occupations, All Other",1435
 VIRGINIA,Management Analysts,1367
 VIRGINIA,"Computer Software Engineers, Applications",1202
 WASHINGTON,"Software Developers, Applications",14280
 WASHINGTON,"SOFTWARE DEVELOPERS, APPLICATIONS",13070
 WASHINGTON,Computer Systems Analysts,9035
 WASHINGTON,COMPUTER SYSTEMS ANALYSTS,7764
 WASHINGTON,"COMPUTER OCCUPATIONS, ALL OTHER",6252
 WASHINGTON,Computer Programmers,4022
 WASHINGTON,"Computer Occupations, All Other",3732
 WASHINGTON,"Computer Software Engineers, Applications",2350
 WASHINGTON,COMPUTER PROGRAMMERS,2318
 WASHINGTON,"Managers, All Other",2116
 WEST VIRGINIA,Computer Systems Analysts,165
 WEST VIRGINIA,"Physicians and Surgeons, All Other",141
 WEST VIRGINIA,"SOFTWARE DEVELOPERS, APPLICATIONS",127
 WEST VIRGINIA,COMPUTER SYSTEMS ANALYSTS,116
 WEST VIRGINIA,"PHYSICIANS AND SURGEONS, ALL OTHER",115
 WEST VIRGINIA,"Health Specialties Teachers, Postsecondary",108
 WEST VIRGINIA,Computer Programmers,91
 WEST VIRGINIA,COMPUTER PROGRAMMERS,91
 WEST VIRGINIA,"Internists, General",90
 WEST VIRGINIA,"HEALTH SPECIALTIES TEACHERS, POSTSECONDARY",73
 WISCONSIN,Computer Systems Analysts,4411
 WISCONSIN,COMPUTER SYSTEMS ANALYSTS,3118
 WISCONSIN,Computer Programmers,2515
 WISCONSIN,"SOFTWARE DEVELOPERS, APPLICATIONS",2142
 WISCONSIN,"Software Developers, Applications",1893
 WISCONSIN,COMPUTER PROGRAMMERS,1801
 WISCONSIN,"COMPUTER OCCUPATIONS, ALL OTHER",1358
 WISCONSIN,"Computer Occupations, All Other",1004
 WISCONSIN,Mechanical Engineers,506
 WISCONSIN,COMPUTER SYSTEMS ANALYST,466
 WYOMING,"Internists, General",55
 WYOMING,"PHYSICIANS AND SURGEONS, ALL OTHER",33
 WYOMING,"Physicians and Surgeons, All Other",23
 WYOMING,"Geoscientists, Except Hydrologists and Geographers",23
 WYOMING,Soil and Plant Scientists,21
 WYOMING,"INTERNISTS, GENERAL",18
 WYOMING,Chemists,17
 WYOMING,Petroleum Engineers,17
 WYOMING,COMPUTER SYSTEMS ANALYSTS,16
 WYOMING,"Mechanical Engineers, R&D",15
